Fields,Expected,Actual,Result
base_domain,dreamstime.com,dreamstime.com,Pass
model_offpage_relevancy_score,34.2613186396,34.2613186396,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,1,1,Pass
unique_domain,13762,13762,Pass
pa_31_50,87,87,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,40,40,Pass
pa_0_30,9902,9902,Pass
links_domain_ratio,177.50792036,177.50792036,Pass
pa_51_80,10,10,Pass
keyword,stock photos,stock photos,Pass
url,http://www.dreamstime.com/,http://www.dreamstime.com/,Pass
da_61_100,7911,7911,Pass
da_51_60,1092,1092,Pass
search_volume,10,10,Pass
model_offpage_score,99.9999999915,99.9999999915,Pass
link_type_edu,904,904,Pass
link_type_others,2441950,2441950,Pass
alias_id,-1,-1,Pass
rank,9,9,Pass
month,1,1,Pass
follow_percentage,57.9769178547,57.9769178547,Pass
year,2016,2016,Pass
alias_name,NA,NA,Pass
model_alps_score,23.168335859,23.168335859,Pass
model_social_score,14.662128508,14.662128508,Pass
da_31_50,8145,8145,Pass
model_onpage_score,72.6868740623,72.6868740623,Pass
total_backlinks,13257,13257,Pass
link_type_gov,0,0,Pass
base_domain,startupstockphotos.com,startupstockphotos.com,Pass
model_offpage_relevancy_score,31.8128168159,31.8128168159,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,0,0,Pass
unique_domain,1958,1958,Pass
pa_31_50,14,14,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,99,99,Pass
pa_0_30,9984,9984,Pass
links_domain_ratio,6.77068437181,6.77068437181,Pass
pa_51_80,2,2,Pass
keyword,stock photos,stock photos,Pass
url,http://startupstockphotos.com/,http://startupstockphotos.com/,Pass
da_61_100,775,775,Pass
da_51_60,981,981,Pass
search_volume,10,10,Pass
model_offpage_score,89.8209431519,89.8209431519,Pass
link_type_edu,137,137,Pass
link_type_others,13120,13120,Pass
alias_id,-1,-1,Pass
rank,10,10,Pass
month,1,1,Pass
follow_percentage,NA,NA,Pass
year,2016,2016,Pass
alias_name,NA,NA,Pass
model_alps_score,7.20271166255,7.20271166255,Pass
model_social_score,22.7715760196,22.7715760196,Pass
da_31_50,NA,NA,Pass
model_onpage_score,20.8555261004,20.8555261004,Pass
total_backlinks,NA,NA,Pass
link_type_gov,NA,NA,Pass
base_domain,,,Pass
model_offpage_relevancy_score,8.36598133466,8.36598133466,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,NA,NA,Pass
unique_domain,NA,NA,Pass
pa_31_50,NA,NA,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,NA,NA,Pass
pa_0_30,NA,NA,Pass
